ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
CHILL-LEM13-2C-1U 21-22 cm,U1,D1,0,44.8263,1.2104,0.8832,0.17489,2.423,0,2.423,19.5909536366,0.278,10.1684652278,1.4289025406,-25.6322472711,Present,0.14,0.096,0.075,0.192,0.284,2.206,8.716,39.4
CHILL-LEM13-2C-1U 22-23 cm,U1,D1,1,55.861,1.3906,0.7726,0.22951,1.8964,0,1.8964,18.7777138684,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 23-24 cm,U1,D1,2,,,,0.2292,2.0317,0,2.0317,19.2226688017,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 24-25 cm,U1,D1,3,67.4362,1.4145,0.758,0.2667,2.1059,0.19598,1.90992,20.1905895526,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 25-26 cm,U1,D1,4,,,,0.25487,2.0686,0,2.0686,19.3207285074,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 26-27 cm,U1,D1,5,79.9575,1.443,0.7405,0.28564,1.9684,0.027671,1.940729,19.2110804401,0.21,10.7818277778,3.1663487075,-26.178120257,,,,,,,,,
CHILL-LEM13-2C-1U 27-28 cm,U1,D1,6,,,,0.22691,1.381,0.26218,1.11882,19.3663639374,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 28-29 cm,U1,D1,7,97.9357,1.4405,0.742,0.28636,1.8752,0.11262,1.76258,20.4220774187,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 29-30 cm,U1,D2,8,,,,0.26073,1.8916,0,1.8916,18.6576098826,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 30-31 cm,U1,D2,9,113.6049,1.4983,0.7066,0.21178,1.7273,0.013166,1.714134,19.488813652,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 31-32 cm,U1,D2,10,,,,0.17617,1.4648,0,1.4648,17.7184322188,0.175,9.7653333333,1.5256947174,-26.0969099349,Present,Present,0.131,0.089,Present,0.248,1.554,11.28,38.32
CHILL-LEM13-2C-1U 32-33 cm,U1,D2,11,127.8827,1.5365,0.6832,0.18241,1.2566,0,1.2566,18.4317481143,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 33-34 cm,U1,D2,12,,,,0.28001,1.8354,0,1.8354,19.8123260287,,,,,0.203,0.163,0,0.693,Present,0.439,0.513,38.66,23.37
CHILL-LEM13-2C-1U 34-35 cm,U1,T1,13,117.4218,1.756,0.5484,0.19569,0.53755,0,0.53755,12.1875856214,0.036,17.4206018519,,,0,0,Present,0,0,0.1,0.442,30.94,17.22
CHILL-LEM13-2C-1U 35-36 cm,U2,D3,14,,,,0.36739,2.0315,0.053653,1.977847,19.2962415578,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 36-37 cm,U2,D3,15,130.5343,1.4265,0.7506,0.54416,3.1184,0.039191,3.079209,21.3535979506,,,1.208517452,-24.4417985246,,,,,,,,,
CHILL-LEM13-2C-1U 37-38 cm,U2,D3,16,,,,0.59917,3.4015,0.082589,3.318911,21.3131555302,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 38-39 cm,U2,D3,17,106.9535,1.3672,0.787,0.52709,3.4973,0.085735,3.411565,20.9186903311,,,,,Present,0,Present,0,0.185,0,1.142,4.461,42.47
CHILL-LEM13-2C-1U 39-40 cm,U2,D3,18,,,,0.4529,3.5597,0.047876,3.511824,21.6757476955,0.489,8.3785848671,,,,,,,,,,,
CHILL-LEM13-2C-1U 40-41 cm,U2,D3,19,78.7933,1.3846,0.7763,0.52744,3.8687,0,3.8687,21.2852715877,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 41-42 cm,U2,D3,20,,,,0.683,4.2604,0.0057761,4.2546239,20.5872412467,,,0.6273273069,-24.9605794522,,,,,,,,,
CHILL-LEM13-2C-1U 42-43 cm,U2,D3,21,63.3976,1.3514,0.7967,0.57147,4.2372,0.015041,4.222159,18.7195672622,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 43-44 cm,U2,D5,22,,,,0.71704,4.385,0.0062007,4.3787993,20.3005071002,,,,,Present,0.106,0.206,0,Present,Present,1.508,3.51,35.04
CHILL-LEM13-2C-1U 44-45 cm,U2,D5,23,57.5008,1.3211,0.8153,0.77353,4.4646,0.043124,4.421476,20.4134969357,0.572,9.0181620047,,,,,,,,,,,
CHILL-LEM13-2C-1U 45-46 cm,U2,D3,24,,,,0.66855,4.0467,0.28327,3.76343,20.5064379332,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 46-47 cm,U2,D3,25,54.8674,1.3533,0.7955,0.74787,4.2912,0,4.2912,20.7513669266,,,1.3038750486,-24.490108224,,,,,,,,,
CHILL-LEM13-2C-1U 47-48 cm,U2,D3,26,,,,0.75776,3.9338,0,3.9338,20.3845094006,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 48-49 cm,U2,D3,27,56.8291,1.3768,0.7811,0.60685,3.5146,0.17316,3.34144,19.7558671672,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 49-50 cm,U2,D3,28,,,,0.68121,3.8176,0.031886,3.785714,19.9223842394,,,,,0.117,Present,0.135,Present,0.145,0.985,1.11,6.054,37.73
CHILL-LEM13-2C-1U 50-51 cm,U2,D3,29,59.7307,1.3673,0.7869,0.68248,3.3763,0.05755,3.31875,20.5730300643,0.42,9.21875,,,,,,,,,,,
CHILL-LEM13-2C-1U 51-52 cm,U2,D3,30,,,,0.56449,3.2507,0,3.2507,20.8624574232,,,1.0060662819,-24.785174982,,,,,,,,,
CHILL-LEM13-2C-1U 52-53 cm,U2,D3,31,62.3825,1.3734,0.7832,0.60667,3.4353,0.81365,2.62165,20.5925036419,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 53-54 cm,U2,D3,32,,,,0.72092,3.6131,0,3.6131,21.0846344324,,,,,Present,0.16,Present,Present,0.096,0.405,1.306,4.152,50.46
CHILL-LEM13-2C-1U 54-55 cm,U2,D3,33,68.9295,1.3424,0.8022,0.65222,3.6269,0.19447,3.43243,20.7471877782,0.492,8.1392310298,,,,,,,,,,,
CHILL-LEM13-2C-1U 55-56 cm,U2,D3,34,,,,0.70462,3.4938,0.042586,3.451214,20.9892294892,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 56-57 cm,U2,D3,35,77.4865,1.3711,0.7846,0.80261,3.9,0,3.9,20.2477999314,,,0.7479224575,-24.1059825882,,,,,,,,,
CHILL-LEM13-2C-1U 57-58 cm,U2,D5,36,,,,0.98001,4.1921,0.04214,4.14996,20.7152723262,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 58-59 cm,U2,D5,37,100.6948,1.3444,0.801,0.93813,4.1696,0,4.1696,20.7649955495,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 59-60 cm,U2,D3,38,,,,0.93557,3.9074,0.10333,3.80407,20.4689352534,0.507,8.7536127548,,,0,0.132,0.051,0.098,0.278,0.236,0.891,5.974,35.24
CHILL-LEM13-2C-1U 60-61 cm,U2,D3,39,141.013,1.3489,0.7982,0.64661,3.4499,0.097681,3.352219,20.233652439,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 61-62 cm,U2,D3,40,,,,0.56319,2.6776,0.12693,2.55067,19.5775637018,,,1.1571498844,-24.1349558315,,,,,,,,,
CHILL-LEM13-2C-1U 62-63 cm,U2,D3,41,189.9413,1.4375,0.7439,0.50268,2.3848,0,2.3848,19.5262422655,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 63-64 cm,U2,D3,42,,,,0.29392,1.0198,0.027433,0.992367,12.9848846788,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 64-65 cm,U2,T2,43,210.7652,1.7182,0.5717,0.19045,0.60009,0.060373,0.539717,11.4319393514,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 65-66 cm,U2,T2,44,,,,0.16623,0.49356,0,0.49356,10.4654820915,,,,,0,0.397,Present,0.185,0.204,0.721,2.646,22.92,12.81
CHILL-LEM13-2C-1U 66-67 cm,U2,T2,45,224.5223,1.8597,0.4849,0.20407,0.62059,0,0.62059,11.2585918096,,,1.5265514124,-24.6146343597,,,,,,,,,
CHILL-LEM13-2C-1U 67-68 cm,U2,D4,46,,,,0.26593,1.1704,0.081932,1.088468,16.3052017539,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 68-69 cm,U2,D4,47,273.6497,1.5446,0.6782,0.2541,0.9695,0.011862,0.957638,14.030437444,,,,,0.332,0.93,0.07,Present,0.176,0.47,1.249,17.7,32.19
CHILL-LEM13-2C-1U 69-70 cm,U2,D4,48,,,,0.3228,1.422,0,1.422,15.2632708494,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 70-71 cm,U2,D4,49,242.4503,1.6962,0.5851,0.24878,1.0898,0.10901,0.98079,14.9609649408,,,,,Present,1.509,0,Present,0.155,0.189,1.261,11.59,58.98
"CHILL-LEM13-3A-1U, 6-7 cm",U2,D4,50,,,,0.30082,1.6356,0,1.6356,14.5747315755,0.23362,8.1679650715,1.199052623,-25.701907309,0,0.8,Present,Present,Present,0.372,0.561,12.46,36.25
"CHILL-LEM13-3A-1U, 7-8 cm",U2,T3,51,,,,0.14287,0.66949,0.077893,0.591597,6.1099986583,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 8-9 cm",U2,T3,52,135.7545,1.8002,0.5214,0.19725,1.2012,0.069739,1.131461,9.4147412703,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 9-10 cm",U2,T3,53,,,,0.1222,0.46531,0.012134,0.453176,7.1639100371,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 10-11 cm",U2,T3,54,136.7043,2.0887,0.3444,0.099648,0.35875,0,0.35875,6.6104028105,0.0494,8.4725033738,,,0,4.021,0,0.134,0.073,0.198,4.14,15.65,54.41
"CHILL-LEM13-3A-1U, 11-12 cm",U2,T3,55,,,,0.086749,0.34896,0,0.34896,5.4910521361,,,0.2750772327,-24.7162754066,,,,,,,,,
"CHILL-LEM13-3A-1U, 12-13 cm",U2,T3,56,208.8644,1.5313,0.6863,0.11202,0.75333,0,0.75333,10.5834410378,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 13-14 cm",U2,D4,57,,,,0.32272,3.2259,0,3.2259,21.252556725,0.60621,6.2083271474,,,0,0,Present,Present,Present,0.196,0.644,6.251,46.98
"CHILL-LEM13-3A-1U, 14-15 cm",U2,D4,58,241.7228,1.4886,0.7125,0.37709,2.7827,0.047384,2.735316,19.5775990637,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 15-16 cm",U2,T4,59,,,,0.17662,1.0933,0.0058584,1.0874416,11.9272786125,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 16-17 cm",U2,T4,60,181.0147,2.1236,0.3229,0.10103,0.4759,0,0.4759,7.0009754972,,,1.5689365485,-27.6623500475,,,,,,,,,
"CHILL-LEM13-3A-1U, 17-18 cm",U2,T4,61,,,,0.098452,0.40311,0,0.40311,6.3537048947,0.117,4.0196153846,,,0,0.574,Present,Present,0,Present,0.165,8.278,14.88
"CHILL-LEM13-3A-1U, 18-19 cm",U2,T4,62,163.3769,2.1537,0.3045,0.083892,0.48293,0.0024103,0.4805197,6.1127420098,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 19-20 cm",U2,T4,63,,,,0.090848,1.0295,0.28172,0.74778,16.4721364837,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 20-21 cm",U3,D4,64,196.0858,1.3662,0.7876,0.30844,3.9165,0,3.9165,21.8697703838,0.53079,8.6083950338,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 21-22 cm",U3,D4,65,,,,0.37036,3.7941,0,,,,,1.9108246223,-23.6337927685,,,,,,,,,
"CHILL-LEM13-3A-1U, 22-23 cm",U3,D4,66,131.6702,1.3578,0.7927,0.29542,3.8299,0.13832,3.69158,21.9969429752,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 23-24 cm",U3,D4,67,,,,0.27587,3.81,0.25068,3.55932,21.7998101689,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 24-25 cm",U3,D3,68,86.9492,1.3599,0.7915,0.3181,4.0615,0,4.0615,22.9551539638,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 25-26 cm",U3,D3,69,,,,0.37101,4.3748,0,4.3748,23.3769579324,0.63305,8.0624489903,,,0,Present,Present,Present,Present,0.194,1.122,3.016,61.48
"CHILL-LEM13-3A-1U, 26-27 cm",U3,D3,70,65.8022,1.3108,0.8216,0.43424,4.3797,0,4.3797,23.1998597663,,,1.548261202,-25.0979719863,,,,,,,,,
"CHILL-LEM13-3A-1U, 27-28 cm",U3,D3,71,,,,0.63336,4.5534,0,4.5534,23.9029520467,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 28-29 cm",U3,D5,72,55.389,1.3097,0.8223,0.71914,4.6222,0,4.6222,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 29-30 cm",U3,D4,73,,,,0.6534,3.8381,0,3.8381,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 30-31 cm",U3,D4,74,52.7065,1.3005,0.8279,0.34388,3.4685,0.020684,3.447816,23.5083062141,0.57419,7.0054372246,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 31-32 cm",U3,D4,75,,,,0.3205,2.5311,0,2.5311,20.7265777675,,,1.3616255084,-25.6630407009,,,,,,,,,
"CHILL-LEM13-3A-1U, 32-33 cm",U3,D4,76,46.272,1.4319,0.7473,0.44837,3.2969,0.072931,3.223969,22.4387762415,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 33-34 cm",U3,D3,77,,,,0.55245,4.0577,0.17602,3.88168,22.6689472677,0.46222,9.797556719,,,0,Present,Present,Present,Present,0.227,1.452,3.379,51.23
"CHILL-LEM13-3A-1U, 34-35 cm",U3,D4,78,48.8797,1.2621,0.8515,0.39633,3.8573,0.26539,3.59191,22.0971332968,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 35-36 cm",U3,D4,79,,,,0.4996,3.9789,0,3.9789,22.9415267438,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 36-37 cm",U3,D3,80,42.2204,1.3529,0.7958,0.48013,4.3525,0,4.3525,,,,1.5750830955,-25.3614765727,,,,,,,,,
"CHILL-LEM13-3A-1U, 37-38 cm",U3,D3,81,,,,0.6655,4.5551,0,4.5551,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 38-39 cm",U3,D5,82,41.0436,1.3221,0.8147,0.48735,4.913,0,4.913,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 39-40 cm",U3,D3,83,,,,0.27263,4.4771,0,4.4771,23.1562911106,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 40-41 cm",U3,D3,84,38.7678,1.3555,0.7942,0.32167,4.3086,0.14524,4.16336,23.1842266713,0.63077,7.7005141864,,,0,Present,0,0,Present,0.291,1.846,3.486,46.57
"CHILL-LEM13-3A-1U, 41-42 cm",U3,D3,85,,,,0.40346,4.0765,0.009844,4.066656,23.0812089095,,,1.1675238604,-25.045931764,,,,,,,,,
"CHILL-LEM13-3A-1U, 42-43 cm",U3,D3,86,38.2289,1.3746,0.7825,0.50193,4.0491,0,4.0491,21.9491877763,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 43-44 cm",U3,D4,87,,,,0.4287,3.4282,0,3.4282,22.6539109617,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 44-45 cm",U3,D4,88,36.9083,1.3928,0.7713,0.55639,3.5096,0.059026,3.450574,22.1051228834,0.5971,6.7420359515,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 45-46 cm",U3,D4,89,,,,0.5599,3.6635,0.031473,3.632027,22.4877820558,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 46-47 cm",U3,D3,90,36.772,1.3359,0.8062,0.53518,4.5983,0,4.5983,,,,1.3987522685,-26.0105953544,,,,,,,,,
"CHILL-LEM13-3A-1U, 47-48 cm",U3,D5,91,,,,0.68725,4.7504,0,4.7504,23.8491299309,0.76889,7.2079664625,,,Present,Present,0,0,Present,0.266,1.141,2.686,60.63
"CHILL-LEM13-3A-1U, 48-49 cm",U3,D3,92,34.3263,1.3479,0.7989,0.52588,4.6193,0,4.6193,23.7810071635,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 49-50 cm",U3,D3,93,,,,0.99518,4.5715,0,4.5715,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 50-51 cm",U3,D3,94,35.1093,1.2853,0.8373,0.54817,4.3332,0,4.3332,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 51-52 cm",U3,D3,95,,,,0.35977,4.2464,0,4.2464,22.9237164251,,,1.6290063314,-24.726872577,,,,,,,,,
"CHILL-LEM13-3A-1U, 52-53 cm",U3,D3,96,33.5036,1.3298,0.8099,0.38217,4.1398,0.0099291,4.1298709,23.2364675893,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 53-54 cm",U3,D4,97,,,,0.50143,3.9808,0.00057993,3.98022007,23.1380769491,0.43053,10.7857526343,,,0,0,Present,0,0,0.448,1.117,2.531,46.46
"CHILL-LEM13-3A-1U, 54-55 cm",U3,D4,98,33.5835,1.3607,0.791,0.55964,3.783,0.050046,3.732954,22.7647366551,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 55-56 cm",U3,D3,99,,,,0.66556,4.2309,0.079224,4.151676,23.0366643487,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 56-57 cm",U3,D5,100,34.3747,1.3792,0.7797,0.55698,4.4364,0,4.4364,22.6567911,,,1.2848741737,-25.8276029706,,,,,,,,,
"CHILL-LEM13-3A-1U, 57-58 cm",U3,D3,101,,,,0.66354,4.4102,0,4.4102,23.7031189257,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 58-59 cm",U3,D3,102,36.6632,1.371,0.7847,0.76095,4.197,0,4.197,22.9288649481,0.59867,8.1789633688,,,0,0.164,Present,0,Present,0.529,1.123,2.087,38.45
"CHILL-LEM13-3A-1U, 59-60 cm",U3,D3,103,,,,0.79358,4.0994,0,4.0994,23.7052571234,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 60-61 cm",U3,D4,104,39.0681,1.3743,0.7826,0.71879,3.9192,0,3.9192,23.9343139867,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 61-62 cm",U3,D4,105,,,,0.57913,3.5738,0.29139,3.28241,22.6364776326,,,1.7551723262,-26.0963149462,,,,,,,,,
"CHILL-LEM13-3A-1U, 62-63 cm",U3,D4,106,41.2101,1.3999,0.767,0.70068,3.6142,0.13687,3.47733,23.5043591124,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 63-64 cm",U3,D3,107,,,,0.80733,4.2728,0.18481,4.08799,23.5384348637,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 64-65 cm",U3,D5,108,47.7385,1.3759,0.7816,0.77378,4.5219,0,4.5219,23.3688098227,0.58664,8.9928235374,,,Present,Present,Present,Present,0.134,0.361,1.117,5.124,45.09
"CHILL-LEM13-3A-1U, 65-66 cm",U3,D3,109,,,,0.67139,4.266,0,4.266,23.6979289556,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 66-67 cm",U3,D3,110,57.6352,1.3874,0.7746,0.74965,4.0143,0,4.0143,22.3361206371,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 67-68 cm",U3,D4,111,,,,0.71746,3.9017,0.15074,3.75096,21.8423729244,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 68-69 cm",U3,D4,112,75.7969,1.3489,0.7982,0.63119,3.2016,0,3.2016,21.1067125754,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 69-70 cm",U3,T5,113,,,,0.54821,1.4605,0,1.4605,14.8264586091,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 70-71 cm",U3,T5,114,88.0796,1.4266,0.7505,0.65662,2.0392,0,2.0392,18.8886084051,0.4278,5.5611656537,,,Present,0.205,0,Present,0,Present,0.295,32.15,17.53
"CHILL-LEM13-3A-1U, 71-72 cm",U3,D5,115,,,,0.88296,4.7393,0,4.7393,23.8753546502,,,2.3649830492,-26.2565293028,,,,,,,,,
"CHILL-LEM13-3A-1U, 72-73 cm",U3,D3,116,100.9189,1.3866,0.7751,0.75961,4.2319,0.34574,3.88616,20.154762198,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 73-74 cm",U3,D3,117,,,,0.65385,4.5249,0.16983,4.35507,23.2763669068,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 74-75 cm",U3,D3,118,115.5819,1.3194,0.8163,0.78033,4.4216,0.015814,4.405786,23.7901098934,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 75-76 cm",U3,D3,119,,,,0.89354,4.6355,0.028396,4.607104,23.8634781124,0.72929,7.3701197969,,,0,0,0,Present,Present,0.455,0.833,2.303,47.06
"CHILL-LEM13-3A-1U, 76-77 cm",U3,D4,120,139.0807,1.3634,0.7893,0.82527,3.8727,0,3.8727,23.4744831823,,,2.0357798922,-27.5555987255,,,,,,,,,
"CHILL-LEM13-3A-1U, 77-78 cm",U3,D4,121,,,,0.83521,3.3741,0,3.3741,23.0322081653,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 78-79 cm",U3,L1,122,194.2367,1.3908,0.7725,0.63356,2.243,0,2.243,18.3683352867,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 79-80 cm",U3,L1,123,,,,0.3917,1.1756,0.015909,1.159691,11.9795065584,0.42356,3.1942884912,,,Present,0.608,Present,0.641,Present,0.225,0.576,25.41,17.42
"CHILL-LEM13-3A-1U, 80-81 cm",U3,L1,124,208.7841,1.8219,0.508,0.099648,0.35875,0,0.35875,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 81-82 cm",U3,L1,125,,,,0.086749,0.34896,0,0.34896,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 82-83 cm",U3,L1,126,255.3404,1.8229,0.5074,0.099648,0.35875,0,0.35875,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 83-84 cm",U3,L1,127,,,,0.086749,0.34896,0,0.34896,,,,,,,,,,,,,,
