ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-2U, 78-79 cm",U4,TL1,252,55.6849,1.5077,0.7008,0.44268,2.5566,0.17721,2.37939,17.5713386501,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 79-80 cm",U4,TL1,253,,,,0.42606,2.4352,0.1935,2.2417,17.3666353653,0.13618,19.2048514221,-0.1162726607,-18.6694632561,,,,,,,,,
"CHILL-LEM13-3A-2U, 80-81 cm",U4,TL1,254,55.3661,1.5267,0.6891,0.44294,2.4724,0.23383,2.23857,17.3161160892,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 81-82 cm",U4,TL1,255,,,,0.42873,2.532,0.20844,2.32356,17.8012571952,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 82-83 cm",U4,TL1,256,56.7131,1.5005,0.7052,0.46624,2.5093,0.25921,2.25009,16.2506960646,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 83-84 cm",U4,TL1,257,,,,0.43184,2.5831,0.26135,2.32175,18.9365899947,0.222,12.2013888889,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 84-85 cm",U4,TL1,258,56.9047,1.5154,0.6961,0.42741,2.3827,0.21287,2.16983,17.8120675417,,,-0.0865343884,-18.4888002753,,,,,,,,,
"CHILL-LEM13-3A-2U, 85-86 cm",U4,TL1,259,,,,0.44971,2.2861,0.20804,2.07806,18.2858733423,0.198,12.2444612795,,,0.317,0.527,Present,Present,0.411,0.448,2.898,9.223,34.31
"CHILL-LEM13-3A-2U, 86-87 cm",U4,TL1,260,56.9187,1.5451,0.6779,0.41699,2.3504,0.18543,2.16497,18.1694761071,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 87-88 cm",U4,TL1,261,,,,0.42541,2.2712,0.23298,2.03822,17.8506307512,0.11449,20.769703322,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 88-89 cm",U4,TL1,262,57.8046,1.5411,0.6803,0.46132,2.6783,0.23649,2.44181,17.7771161614,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 89-90 cm",U4,TL1,263,,,,0.44631,2.5119,0.20433,2.30757,18.0941041108,,,-0.1269635706,-18.7489028509,,,,,,,,,
"CHILL-LEM13-3A-2U, 90-91 cm",U4,TL1,264,58.791,1.5444,0.6783,0.44931,2.5796,0.21901,2.36059,17.2800850738,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 91-92 cm",U4,TL1,265,,,,0.46145,3.2419,0.17259,3.06931,17.9224448815,0.20448,17.5120386672,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 92-93 cm",U4,TL1,266,63.23,1.4903,0.7115,0.44588,2.7654,0.20242,2.56298,18.1955321919,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 93-94 cm",U4,TL1,267,,,,0.43831,2.5228,0.19094,2.33186,18.4793102871,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 94-95 cm",U4,TL1,268,65.6792,1.5478,0.6762,0.39019,1.9512,0.22115,1.73005,16.7460154088,,,-0.1788468847,-19.4614484107,,,,,,,,,
"CHILL-LEM13-3A-2U, 95-96 cm",U4,TL1,269,,,,0.37938,1.8337,0.25745,1.57625,16.9977103674,0.146,12.5956050228,,,0.234,0.967,0,Present,0.592,0.54,3.42,8.992,34.95
"CHILL-LEM13-3A-2U, 96-97 cm",U4,TL1,270,69.9567,1.6165,0.6341,0.39701,1.8619,0.22429,1.63761,16.9765337194,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 97-98 cm",U4,TL1,271,,,,0.35935,1.6839,0.24706,1.43684,15.8091784881,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 98-99 cm",U4,TL1,272,77.8759,1.6502,0.6134,0.36075,1.686,0.31432,1.37168,15.1605438777,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 99-100 cm",U4,TL1,273,,,,0.32758,1.2568,0.26197,0.99483,10.6816360742,0.10002,11.6040291942,0.0157802862,-18.5382886874,,,,,,,,,
"CHILL-LEM13-3A-2U, 100-101 cm",U4,T8,274,83.1784,1.7647,0.5431,0.28476,0.70999,0.29454,0.41545,6.4488683896,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 101-102 cm",U4,T8,275,,,,0.25218,0.70114,0.25111,0.45003,5.8007959512,0.041,12.8057317073,,,0.179,6.181,0,0,0.283,0.658,4.33,15.45,50.91
"CHILL-LEM13-3A-2U, 102-103 cm",U4,TL1,276,92.037,1.8244,0.5065,0.28444,1.0881,0.28776,0.80034,5.3701122231,,,0.6617999768,-18.2989881916,,,,,,,,,
"CHILL-LEM13-3A-2U, 103-104 cm",U4,L3,277,,,,0.27172,0.8488,0.25596,0.59284,5.3701122231,0.0859,8.0517656189,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 104-104 cm",U4,L3,278,102.3438,1.8583,0.4857,0.17617,0.47424,0,0.47424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 105-104 cm",U4,L3,279,,,,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 106-107 cm",U4,L3,280,103.9765,1.9939,0.4025,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 107-108 cm",U4,L3,281,,,,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 108-109 cm",U4,L3,282,102.0228,2.088,0.3448,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 109-110 cm",U4,L3,283,,,,0.03617,0.09424,0,0.09424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 110-111 cm",U4,L3,284,107.377,1.9468,0.4314,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 111-112 cm",U4,L3,285,,,,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 112-113 cm",U4,L3,286,103.2127,1.9313,0.4409,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 113-114 cm",U4,L3,287,,,,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 114-115 cm",U4,L3,288,102.0905,1.8966,0.4622,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 115-116 cm",U4,L3,289,,,,0.01617,0.07424,0,0.07424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 116-117 cm",U4,L3,290,103.7424,1.8885,0.4672,0.03617,0.09424,0,0.09424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 117-118 cm",U4,L3,291,,,,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 118-119 cm",U4,L3,292,105.6225,1.9089,0.4546,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 119-120 cm",U4,L3,293,,,,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 120-121 cm",U4,L3,294,99.5459,2.0254,0.3832,0.07617,0.17424,0,0.17424,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 121-122 cm",U4,L3,295,,,,0.17617,0.47424,0.2889,0.18534,5.3701122231,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 122-123 cm",U4,T9,296,97.894,1.9546,0.4266,0.19812,0.48178,0.22041,0.26137,5.5147691065,0.045,6.7762592593,,,0.2,2.412,0,0,0.425,0.925,6.141,6.349,60.44
"CHILL-LEM13-3A-2U, 123-124 cm",U4,T9,297,,,,0.1765,0.55375,0.17475,0.379,6.8098306033,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 124-125 cm",U4,T9,298,97.9596,1.825,0.5062,0.27301,0.81881,0.2053,0.61351,8.3159367626,0.146345,4.8909198583,-0.5147551338,-18.5584221171,,,,,,,,,
"CHILL-LEM13-3A-2U, 125-126 cm",U4,T9,299,,,,0.31684,1.034,0.10235,0.93165,10.3317315181,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 126-127 cm",U4,T9,300,93.5714,1.7701,0.5398,0.34249,1.0129,0.010635,1.002265,10.1806685079,0.092,12.7098822464,,,0.786,2.228,0,0.161,1.394,2.643,10.87,21.19,17.42
"CHILL-LEM13-3A-2U, 127-128 cm",U5,D6_a,301,,,,0.35556,1.36,0.16442,1.19558,11.0782900371,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 128-129 cm",U5,D6_a,302,98.6089,1.5174,0.6948,0.30448,2.175,0.086607,2.088393,18.0181188247,0.17386,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 129-130 cm",U5,D6_a,303,,,,0.26374,3.1116,0.062047,3.049553,21.0211657713,,,2.3804075103,-23.5394620806,,,,,,,,,
"CHILL-LEM13-3A-2U, 130-131 cm",U5,D6_a,304,98.7857,1.3933,0.771,0.5847,2.7819,0.017163,2.764737,20.8070793728,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 131-132 cm",U5,D6_a,305,,,,0.30552,2.4547,0.014115,2.440585,21.3738358997,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 132-133 cm",U5,D6_a,306,99.4212,1.4476,0.7377,0.27648,2.1491,0,2.1491,20.0380913739,0.50045,5.0100576148,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 133-134 cm",U5,D6_a,307,,,,0.28254,2.0186,0,2.0186,19.5727246126,0.263,8.9544993663,,,0,0.24,0.154,Present,0,Present,0.823,15.19,31.96
"CHILL-LEM13-3A-2U, 134-135 cm",U5,D6_a,308,116.9598,1.4498,0.7363,0.30204,2.4257,0.033359,2.392341,20.8914763557,,,2.0516427169,-25.2859557694,,,,,,,,,
"CHILL-LEM13-3A-2U, 135-136 cm",U5,D6_a,309,,,,0.65941,2.1904,0,2.1904,20.1208739962,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 136-137 cm",U5,T10,310,136.5534,1.4958,0.7081,0.18007,0.90303,0.043184,0.859846,14.9041923389,0.24213,4.1430374867,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 137-138 cm",U5,T10,311,,,,0.13418,0.70423,0.017069,0.687161,9.2332533418,0.062,12.9304489247,,,0,0,0,Present,Present,Present,0.601,14.23,11.35
"CHILL-LEM13-3A-2U, 138-139 cm",U5,T10,312,125.1683,1.7895,0.5279,0.12967,1.0001,0,1.0001,11.852907126,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 139-140 cm",U5,D6_a,313,,,,0.58704,1.9956,0.074234,1.921366,17.5881588063,0.44039,5.0900194525,2.1240354328,-25.2915274721,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 66-67cm",U5,D6_a,314,130.5059,1.5315,0.6862,0.34565,1.6311,0,1.6311,17.2785636986,0.36474,5.2172780611,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 67-68cm",U5,D6_a,315,130.3769,1.4498,0.7363,0.57146,2.3518,0,2.3518,17.6041883663,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 68-69cm",U5,D6_a,316,123.7411,1.4075,0.7623,0.42063,2.8022,0.292,2.5102,19.863703364,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 69-70cm",U5,D6_a,317,114.4659,1.3868,0.775,0.49201,3.0809,0.19305,2.88785,20.2121827971,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 70-71cm",U5,D6_a,318,104.9412,1.3711,0.7846,0.79153,2.9997,0,2.9997,19.5545381242,0.52911,6.6142201055,2.1767948691,-25.7095285363,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 71-72cm",U5,D6_a,319,93.7476,1.4008,0.7664,0.6444,3.1978,0,3.1978,19.9302637027,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 72-73cm",U5,D6_a,320,89.3691,1.3669,0.7872,0.39388,3.2878,0.034107,3.253693,19.8810793685,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 73-74cm",U5,D6_a,321,85.0934,1.3613,0.7906,0.71739,3.1136,0,3.1136,20.5401513981,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 74-75cm",U5,D6_a,322,81.1353,1.3708,0.7848,0.69587,2.7181,0.067789,2.650311,19.8266777876,0.48983,6.3124543209,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 75-76cm",U5,D6_a,323,78.6805,1.3838,0.7768,0.59312,3.028,0,3.028,19.6859829045,,,1.9715990101,-24.7102436864,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 76-77cm",U5,D6_a,324,77.3978,1.3838,0.7768,0.71235,2.6772,0,2.6772,18.6372381236,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 77-78cm",U5,D6_a,325,79.5633,1.3526,0.796,0.66098,2.8471,0,2.8471,19.4162334144,,,,,,,,,,,,,
"CHILL-LEM13-3E-2U-2, 78-79cm",U5,D6_a,326,80.8673,1.3506,0.7972,0.72723,2.7803,0.58306,2.19724,19.32302714,0.37371,6.8594543006,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 40-41cm",U5,D6_a,327,102.7734,1.3299,0.8099,0.78548,2.9767,0,2.9767,21.0640665956,0.48945,7.0953451153,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 41-42cm",U5,D6_b,328,,,,0.82516,3.6716,0.095809,3.575791,20.4497139385,,,2.5848777487,-25.1590155576,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 42-43cm",U5,D6_b,329,110.8277,1.3411,0.803,1.1123,3.7592,0,3.7592,19.6646094905,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 43-44cm",U5,D6_b,330,,,,1.1104,4.0564,0,4.0564,19.7711751756,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 44-45cm",U5,D6_b,331,122.6568,1.3326,0.8082,1.6621,3.5845,0,3.5845,20.3943302861,0.51193,8.1689228345,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 45-46cm",U5,D6_b,332,,,,1.287,3.4523,0.44492,3.00738,19.1690671464,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 46-47cm",U5,D6_b,333,136.495,1.3103,0.8219,1.1458,4.0768,0,4.0768,20.7893004375,,,1.1992161062,-23.0920859605,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 47-48cm",U5,D6_a,334,,,,1.1904,3.0449,0,3.0449,20.2791992689,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 48-49cm",U5,D6_a,335,146.0393,1.3299,0.8099,1.069,2.7909,0,2.7909,19.3987642811,0.46618,6.984533871,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 49-50cm",U5,D6_a,336,,,,1.1434,3.1963,0,3.1963,20.3177000639,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 50-51cm",U5,D6_a,337,160.3737,1.3422,0.8023,1.2726,3.1057,0.16168,2.94402,19.6709722957,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 51-52cm",U5,D6_a,338,,,,1.1644,3.3902,0.18356,3.20664,20.0540316389,,,2.2540965376,-26.6407553926,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 52-53cm",U5,D6_a,339,189.1178,1.3097,0.8223,1.6297,3.8018,0.17323,3.62857,21.548235402,0.52469,8.0682530002,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 53-54cm",U5,D6_a,340,,,,1.6142,3.2383,0,3.2383,20.9426426064,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 54-55cm",U5,D6_a,341,224.6848,1.2973,0.8299,1.2698,2.8897,0.026266,2.863434,21.1457596966,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 55-56cm",U5,D6_a,342,,,,1.2451,3.3994,0.32996,3.06944,20.8448240032,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 56-57cm",U5,D6_a,343,220.2274,1.5072,0.7011,0.86,2.699,0.0053556,2.6936444,19.9248754181,0.26451,11.8807800587,2.6944717933,-26.2790226244,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 57-58cm",U5,T11,344,,,,0.35135,0.67266,0.18747,0.48519,12.2432638425,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 58-59cm",U5,T11,345,232.3674,1.4775,0.7193,0.37724,0.25438,0,0.25438,10.0083802156,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 59-60cm",U5,D6_b,346,,,,0.77279,3.1556,0,3.1556,20.5540244795,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 60-61cm",U5,D6_b,347,246.4128,1.3024,0.8267,1.657,4.5037,0.065041,4.438659,20.5154790619,0.30411,17.0281657953,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 61-62cm",U5,D6_b,348,,,,2.1203,3.7895,0,3.7895,21.2141655999,,,2.2197473188,-27.0750501012,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 62-63cm",U5,D6_a,349,226.1878,1.286,0.8368,2.2823,3.4756,0.072948,3.402652,20.5753872448,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 63-64cm",U5,D6_b,350,,,,1.8338,3.2749,0,3.2749,19.193126975,0.47122,8.1081377417,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 64-65cm",U5,D6_b,351,203.8197,1.3192,0.8164,1.4629,4.2771,0,4.2771,21.399904948,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 65-66cm",U5,D6_c,352,,,,1.9075,5.3582,0.017298,5.340902,20.5801450332,,,,,,,,,,,,,
"CHILL-LEM13-3B-3U-1, 66-67cm",U5,D6_c,353,187.9825,1.3305,0.8095,1.2102,5.4869,0.50933,4.97757,19.4766305384,0.56539,10.2710783707,2.2718279544,-17.9332025282,,,,,,,,,
"CHILL-LEM13-3A-3U, 21-22 cm",U5,D6_a,354,,,,2.1436,4.2415,0.2798,3.9617,19.8245080697,,,,,0,0,0,Present,0,0.188,1.597,3.766,43.25
"CHILL-LEM13-3A-3U, 22-23 cm",U5,D6_a,355,157.385,1.5206,0.6929,1.1668,3.074,0.063477,3.010523,20.7618412234,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 23-24 cm",U5,D6_a,356,,,,1.711,2.7261,0.10862,2.61748,20.7235532936,0.34,8.9815490196,,,0,Present,0,0,0,Present,1.23,5.359,42.59
"CHILL-LEM13-3A-3U, 24-25 cm",U5,D6_a,357,155.8569,1.3926,0.7714,1.6808,2.847,0.11307,2.73393,20.0165081232,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 25-26 cm",U5,D6_a,358,,,,1.4941,2.8675,0.13406,2.73344,20.4105178479,,,1.8481041832,-24.149831777,,,,,,,,,
"CHILL-LEM13-3A-3U, 26-27 cm",U5,D6_a,359,127.2332,1.5308,0.6866,0.59605,1.9965,0.033012,1.963488,13.4587680719,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 27-28 cm",U5,T12,360,,,,0.39604,1.0592,0.03427,1.02493,16.3357651113,0.082,14.5823373984,,,0,0,0,Present,0,0,0.516,3.955,47.11
"CHILL-LEM13-3A-3U, 28-29 cm",U5,D6_a,361,113.8983,1.5395,0.6813,1.8029,2.0776,0.098072,1.979528,18.910290715,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 29-30 cm",U5,D6_a,362,,,,0.86435,2.2744,0.36642,1.90798,18.8237825638,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 30-31 cm",U5,T13,363,107.5209,1.4396,0.7426,1.1123,1.2818,0.23009,1.05171,14.9201035596,,,2.1635532334,-17.4306901228,,,,,,,,,
"CHILL-LEM13-3A-3U, 31-32 cm",U5,D6_a,364,,,,1.7159,2.3174,0.27033,2.04707,19.5987506796,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 32-33 cm",U5,D6_c,365,86.4269,1.5133,0.6973,0.61781,2.5024,0.092117,2.410283,12.7711462856,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 33-34 cm",U5,D6_a,366,,,,2.0772,3.2471,0.10512,3.14198,15.358356625,0.226,16.219660767,2.1624659423,-27.6423719257,0,0.683,0,0,0,0.049,1.682,1.812,47.64
"CHILL-LEM13-3A-3U, 34-35 cm",U5,L4,367,61.5826,1.7621,0.5447,0.64261,1.1539,0.13485,1.01905,12.4744035966,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 35-36 cm",U5,L4,368,,,,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 36-37 cm",U5,L4,369,56.9279,1.6754,0.5979,0.05751,0.10933,0,0.10933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 37-38 cm",U5,L4,370,,,,0.05751,0.10933,0,0.10933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 38-39 cm",U5,L4,371,52.4758,1.8936,0.464,0.05751,0.10933,0,0.10933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 39-40 cm",U5,L4,372,,,,0.05751,0.10933,0,0.10933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 40-41 cm",U5,L4,373,75.7157,1.5915,0.6494,0.15751,0.70933,0,0.70933,,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 41-42 cm",U5,D6_c,374,,,,1.1038,4.1688,0.17106,3.99774,17.6418008076,,,0.9606322316,-25.3930188968,,,,,,,,,
"CHILL-LEM13-3A-3U, 42-43 cm",U5,D6_a,375,101.8681,1.4857,0.7143,0.46722,3.5094,0.034107,3.475293,18.7693692712,0.225,18.0200377778,,,0,1.533,0.079,Present,0,0.413,3.631,6.741,39.95
"CHILL-LEM13-3A-3U, 43-44 cm",U5,D6_a,376,,,,0.95869,2.9179,0.07853,2.83937,21.5561851863,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 44-45 cm",U5,D6_a,377,126.2876,1.4382,0.7435,1.5182,2.7934,0.091084,2.702316,21.3077684773,,,,,,,,,,,,,
"CHILL-LEM13-3A-3U, 45-46 cm",U5,D6_a,378,,,,2.0775,2.8252,0.12204,2.70316,21.2397524139,,,2.8070379819,-24.0294817087,,,,,,,,,
"CHILL-LEM13-3A-3U, 46-47 cm",U5,D6_b,379,143.6578,1.4512,0.7355,1.5338,4.6842,0.67417,4.01003,18.9354709052,,,,,,,,,,,,,
